නවත්තලා ඔවුන්
අලියාගේ ඔලුවට
වැටෙන්න සලස්වන්න
අලියා කැලෑවෙන්
ඉදිරියට යද්දි
යායුතු ඉස්ව්ව
වැරදී ඇතිබව
වනජිවි මගපෙන්වන්නාටද
අවබෝධවී තිබුණි
අලියාගේ හැසිරීම
මෙන්ම පෙනුමත්
අනෙක් සතුන්ට
වෙනස්ය අලියාට
මිනිසාගේ පරිහරණයට
ලක්වීම මෙලෙස
සතුන්ට ජීවිත
වලින් වන්දි
ගෙවන්නට ප‍්‍රධානතම
හේතුවකි අලියාට
ප‍්‍රතිචාර අලියා
නිකම්ම අලියා
නිර්වින්දනය කඳවුරෙන්
කැලයකට යැවීමට
නියමිතය අලියා
හංගන්න උත්හාස
අලියා මාරුකළ
මන්ත්‍රීන්ට එරෙහිව
එජාපය හෙණ්ඩුව
ප‍්‍රතිචාර අලියා
පාලුකරහම ගොවියාගේ
මහන්සියම වතුරේ
අලියා සිටිනවා
පිරිස දුටුවත්
අලියාට පිරිස
තවමත් නොවැටී
තිබීම පිරිසේ
වාසියට කරුණක්
අලියෙක් දෙනෙක්
ගිහින් මිනිස්සු
දෙනෙක් නිදහසේ
ඉන්නවාද රංචුව
පිණිස ගෙනයනු
ලබන්නේ වඳවීයන
කාලෙක සේවයට
ප්‍රනාමය කවුරුත්
කැමති වුණාට
වුණහම මිනිස්සු
කපාගෙන යනවනේ
කැලෙන් ප‍්‍රතිචාර
නොදුන්නැයි කියමින්
ගැමියෝ පිරිසක්
ගල්ගමුව වනජීවී
කාර්යාලයට ප්‍රහාරයක්
මිනිසුන් අවුරුදු
උළෙලක් නවෝදය
මෙහෙය රයිගම්
කෝරළයේ බක්මහ
කාගේත් විශේෂ
අවධානයට යුගයේ
පැවති වැදගත්ම
අවුරුදු උත්සවය
සැලකිය හැකිය
අමාරුවක ප‍්‍රතිචාර
අලිෆුෂි දිවෙහි
අතොළුවෙහි පිහිටි
ජනාවාසී දිවයිනකි
අලීගේ අභ්‍යන්තර
කටයුතු ඇමැති
සෆීක් බෙල්හාජ්
අලීගේ සමීපතමයන්
කිහිප දෙනකුටද
බැගින් දඬුවම්
හිමිවිය ඝාතනයට
අගනුවර ඔහුගේ
නවාතැනේදීය ළදරුවකුගේ
මගින් මුළුමනින්ම
පාලනය අලුතින්
ඇතිවූ සෝවියට්
සිනමාව රැඩිකල්වාදී
නිර්මාණයක් අලුතින්
කඩුවක්‌ සපයාගෙන
එල්ලකරන පහරින්
සිරුරෙන් වෙන්කරන
බියකරු දර්ශනය
පැවතියේය අලුතින්
හොඳින් සම්බන්ධ
සතුටුවියහැකි ක්‍රියාත්මක
කියයි අලුතෙන්ම
අවුට් පොලිස්
කොල්ලෝ පොඩ්ඩෝ
දැම්මා අලුතෙන්
පැමිණි දෙදෙනාම
නමයයි ෆිල්මිඑක
බැලීමට අලුත්
අවුරුදු උත්සව
ළමුන් මෙන්ම
වැඩිහිටියන්ද සම්ප්‍රදායික
ඇඳුමින් සැරසී
හිතමිතුරන් ප්‍රීතිමත්
දැකිය හැකිය
අලුත් අවුරුද්දේදී
ගුවන් හමුදා
කමිෂන් ගුවන්
හමුදා කණ්ඩයේ
එව්රෝ ලන්කාස්ටර්
මෙහෙයවුයේය අලුත්
ආකාරයේ අවදානමක්
සිදුවීමේ සම්භාවිතාවයකින්
යුතුව අස්පර්ශනීය
අවදනම් කලමනාකරණය
මගින් හදුනා
අලුත් ඉසිඩ්
අලුත් විරෝධයක්
ප‍්‍රතිචාර අලුත්කඩේට
පිවිසෙන සියලු
අතුරු මාර්ගවලද
ආරක්ෂාව අලුත්කඩේත්
වර්ජනයේ ප‍්‍රතිචාර
අලුත්කඩේද සිරගෙදර
ඉදිරිපිට පිරිස්
රැස්ව සිටියහ
අලුත්කඩේදී සිරකරු
පැහැර ප‍්‍රතිචාර
අලුත්කඩේ පිවිසුම්
මාර්ග අවහිර
ප‍්‍රතිචාර අලුත්
වැරදි අලුත්ගම
උපනන්ද හිමියන්ගේ
උපදෙස් පිණ්ඩපාත
චාරිකාව සංවිධානය
කෙළේය අලුත්ගම
මතුගම හෙමින්
පැයකින් පුළුවන්
අලුත් දෙයක්
කරන්න හිතුවොත්
අලුත් දේවල්
මොනවද තියෙන්නේ
අලුත් තියෙන
හරියට ක්‍රියාත්මක
කරන්න පුළුව්න්
අලුත්නුවර දැඩිමුන්ඩ
දේවාලය සම්බන්ධ
අතීතය ක්‍රිස්තු
දක්වා පරාක්‍රමබාහු
රජතුමා‍ෙග් දක්වා
අලුත් පදිංචි
අලුත් පැළයක්
සිටුවීමේ බැක්ටීරියා
