ተለዋዋጭ የግድግዳ
እንዳገኘ መተግበሪው
መረጃዎችን በማድረግ
አገልግሎት በማይኖርበት
ለመጠቀም እንደሚያስችል
የተገለጸው ለግርምት
እንዘጋጅ የቀድሞው
አውሮፕላን አልታወቀም
እንደሚሞት የቀድሞዋ
የተቃዋሚ ወይዘሪት
ብርቱካን ኢትዮጵያ
የቀድሞዋ የተቃዋሚ
ወይዘሪት ብርቱካን
ኢትዮጵያ ባለችበት
ለመርዳት የሚችለውን
ለማድረግ የሚልበት
አለመሆኑን በመረዳት
በልምድና በዕውቀቴ
የምችለውን ለማዋጣት
እንደሚሆን ለመወያየት
የምሄደው ወይዘሪት
ብርቱካን አገራቸው
ተመልሰው ለአገሪቱም
ለሕዝቡም ዕውቀትና
አስተዋጾ ማበርከት
መምጣታቸው የሚያስመሰግናቸው
አብረናቸው ለመስራት
የፌደራል በኢትዮጵያ
የተጀመረውን የዲሞክራሲ
እንቅስቃሴ የተፈጠረው
ያበረታታቸው የቀድሞዋ
የቅንጅት የአንድነት
ወይዘሪት ብርቱካን
ከመብረራቸው አስቀድሞ
ለአሜሪካ የፌድራል
በኩላቸው የወይዘሪት
ብርቱካንን አስመልክቶ
አስተያየት በአገሪቱ
በሚካሄደው እንቅስቃሴ
እንዲያግዙ እንፈልጋለን
አብረናቸው ለመስራትም
ክትድሕኑ ክርስትያናዊ
ክርስቶስ መንግስቲ
ይሰምዕዩ ኣውያትና
ክትድሕኑ መለያየት
የሚያስከትለውን የምችለው
የወጣቶች መለያየቴ
በከፍተኛ እንድዋጥ
አድርጎኝ በሕይወቴ
እንደዚያ የሚሰብር
አጋጥሞኝ አያውቅም
አጋጥሞሻል ታገኝዋለሽ
መለያየታችሁ በሁለታችሁም
ማስከተሉ አይቀርም
ግንኙነታችሁ እንዲቋረጥ
ያደረግሽው አስብለት
የነበረን እንደጎዳሁት
ሕሊናዬን ይረብሸኝ
እንዲያጋጥመኝ አልፈልግም
ግንኙነታችሁ እንዲቋረጥ
ያደረግሽው ካልሆንሽ
አንዳንዶች ተመሳሳይ
ሲያጋጥማቸው በቁማቸው
እንደሞቱ የሚሰማቸው
እንደሆነ አትቀሪም
የተባለች ተናግራለች
የተለያዩ ተፈራርቀውብኛል
እውነታውን ለመቀበል
ከመሆኑም የመንፈስ
እውነታውን ተቀበልኩ
ከጓደኛሽ መለያየትሽ
ቅስምሽን ሊሰብረውና
እንድትዋጪ ሊያደርግሽ
የመጽሐፍ የተደቆሰ
ያሟጥጣል ካሰፈረው
ይመሳሰላልምሳሌ ለሚጣልበት
ስሜትሽን እውነተኛ
ምንጊዜም የተወለደ
ለወላጆችሽ ሊጣልበት
ስሜትሽን አውጥተሽ
መናገርሽ ሚዛንሽን
እንድትጠብቂ ከተፈጠረው
ትምህርት የመጽሐፍ
ማስተዋልንም በአስቸጋሪ
ሁኔታዎች ማለፋችን
እንድናውቅና ችግሮችን
እንደምንችል ያስገነዝቡናል
ከተለያየን ከሁኔታው
ያገኘኸውን ትምህርት
መጠናናት ስትጀምር
ልትጠቀምበት የምትችለውስ
ጠየቀኝስቲቨን ሸክምህን
ይደግፍሃል ማቅረብሽ
ሐዘንሽን ለመቋቋም
የግንኙነታችሁን ለመመልከት
ይረዳሻል አዘውትራችሁ
ያጋጠማችሁን ይረዳላችኋል
ሁኔታውን ከእናንተ
ያውቃልማርሲያ እያንዳንዳችሁ
ፍላጎትም ይናገራል
ፊልጵስዩስ ለመርዳት
ባደረግሽ የተቋረጠውን
ግንኙነትሽን ትጀምሪያለሽ
መለያየት ጭልምልም
ያደርጋል እንደሚሻሻል
ተመልክቻለሁ ችያለሁኤቭሊን
ጓደኝነት መጠናናት
የወጣቶች መለያየት
የሚያስከትለውን የሚቻለው
ስትመሠርት እንደምታገኝ
ትችላለህ ተፈታታኝ
ሁኔታዎችስ ሊያጋጥሙህ
እችላለሁክፍል ሊያጋጥሙ
ያልተጠበቁ ተፈታታኝ
ሁኔታዎችን ለመወጣት
ማዘጋጀት እንደምትችል
እንድታነብ እንጋብዝሃለን
ንጹሃትን ርኹሳትን
እንስሳታት ኦብነግኦነግአልሸባብና
አልቃይዳ በፓርላማ
ሽብርተኛ ከተፈረጁ
ተቆጥረዋልዛሬ ዶክመንተሪ
ድርጅቶች ሽብርተኛ
እንደተባሉ ማብራሪያ
ማስነሳቱ አይቀርምነው
ሳናውቀው ሽብርተኛ
አይደሉም ተነስቷል
ፓርቲዎቹን ሽብርተኝነት
ሲያከራክር ፓርላማው
ከስልጣኑ በመውጣት
ድርጅቶችንቡድኖችንና ግለሰቦችን
ሽብርተኛ እንደማይገባው
የአንድነቱ ነበርየኢህአዴጉ
ፖለቲካዊነው ተናግረው
ዶክመንተሪ ፓርላማው
የተለያዮ ፓርቲዎች
ተወካዮች ስለመሆኑ
ነውየኢቴቪ ፓርላማው
በተለያዮ ፓርቲዎች
ተወካዮች ለማሳየት
የተከበሩ እያቀረበና
አሳይቶናልግርማ ሲቀርቡና
እንደሚታዮ የሚያውቀው
የካሜራው መንግስት
እየተከተለው የሚገኘው
በየትኛውም አይመስለኝምብረት
ወገኖችን ሽብርተኛ
አስተዳደር መገንባት
አይቻልምደርግ የገቡትን
የዛሬዎቹን የምኒሊክ
መንግስት ተቆጣጣሪዎችሽብርተኛገንጣይአስገንጣይ
ወንበዴበማለት መዘንጋት
የለበትምህወሃት በተጨማሪ
በአሜሪካ መንግስት
ሽብርተኛተብለው ከተፈረጁ
መደረጉን አይመስለኝም
መንግስት በሰላማዊ
ልዮነቶቻቸውን በመፍታት
የተሻለች ኢትዮጵያን
እንዲፈጥሩ ይጠበቅበታልበአገር
ድርጅቶችን መመልከቱንና
አንገታቸውን መወርወሩን
የፖለቲካ ምህዳሩን
ይኖርበታል የሽብርተኛ
በማድረግና ተአማኒነት
እንዳያገኝ አይመስለኝምለዚህ
መድሃኒት ኢህአዴግ
የፕሮፓጋንዳ ያደረገውን
ኢሬቴድን እንዲያስተናግድ
ነጻየኤሌክትሮኒክስ የማግኘት
ነውየታፈነ ለመስማት
ዘርግቶና ነውእናንተ
እያላችሁ ቪኦኤንና
ዶቼቬሌን ነበርአሁን
መንግስቱን ስትጨብጡ
መጀመራችሁ ዶክመንተሪው
እየተጠቀሙ የተቃዋሚ
አመራሮችን ለማስፈራራት
ነውመንገዱ አይመስለኝምኢቴቪ
በአገሪቱ በሰላማዊ
እየታገሉ ፓርቲዎችን
ኢህአዴግ በእኩልነት
የሚያስተናግድበትን በሌለበት
ለብቻችሁ በተቆጣጠራችሁበትኤፍኤሞችን
ለሙዚቃለስፖርትና ለአልባሌ
እንዲውሉ ባደረጋችሁበት
የሚታይን ሽብርተኝነት
አያሻግራችሁም የሙስሊሙን
አዳክመውልኛል ያላቸውን
የመንግስት ሃላፊዎችን
አባላትን በሽልማት
